CMDLINE c:\users\zengg\appdata\local\programs\python\python37-32\python.exe main.py
MEM 130.757812 1591676609.1362
MEM 130.769531 1591676609.2369
MEM 130.796875 1591676609.3377
MEM 130.800781 1591676609.4384
MEM 130.812500 1591676609.5391
MEM 130.820312 1591676609.6399
MEM 130.894531 1591676609.7410
MEM 130.902344 1591676609.8412
MEM 130.980469 1591676609.9419
MEM 131.128906 1591676610.0426
MEM 131.214844 1591676610.1433
MEM 131.417969 1591676610.2441
MEM 131.632812 1591676610.3448
MEM 131.871094 1591676610.4455
MEM 168.367188 1591676610.5463
MEM 137.097656 1591676610.6470
MEM 137.101562 1591676610.7477
MEM 137.109375 1591676610.8486
MEM 137.117188 1591676610.9493
MEM 137.121094 1591676611.0500
MEM 137.128906 1591676611.1508
MEM 137.136719 1591676611.2515
MEM 137.152344 1591676611.3522
MEM 137.160156 1591676611.4530
MEM 137.164062 1591676611.5537
MEM 137.167969 1591676611.6544
MEM 137.171875 1591676611.7552
MEM 137.175781 1591676611.8559
MEM 137.238281 1591676611.9567
MEM 137.347656 1591676612.0574
MEM 137.613281 1591676612.1581
MEM 137.738281 1591676612.2589
MEM 137.910156 1591676612.3596
MEM 138.054688 1591676612.4603
MEM 138.234375 1591676612.5611
MEM 138.445312 1591676612.6618
MEM 138.625000 1591676612.7625
MEM 138.863281 1591676612.8633
MEM 139.058594 1591676612.9641
MEM 139.312500 1591676613.0648
MEM 139.457031 1591676613.1655
MEM 139.660156 1591676613.2663
MEM 139.867188 1591676613.3670
MEM 139.964844 1591676613.4677
MEM 139.964844 1591676613.5685
MEM 137.144531 1591676613.6692
MEM 137.320312 1591676613.7699
MEM 137.507812 1591676613.8708
MEM 137.683594 1591676613.9715
MEM 137.875000 1591676614.0723
MEM 138.042969 1591676614.1730
MEM 58.093750 1591676614.2740
MEM 58.093750 1591676614.3747
MEM 57.593750 1591676614.4754
MEM 57.593750 1591676614.5762
MEM 57.593750 1591676614.6769
MEM 57.593750 1591676614.7787
MEM 57.593750 1591676614.8796
MEM 57.550781 1591676614.9804
MEM 58.164062 1591676615.0811
MEM 58.453125 1591676615.1818
MEM 58.765625 1591676615.2826
MEM 59.015625 1591676615.3833
MEM 59.488281 1591676615.4840
MEM 60.031250 1591676615.5885
MEM 61.003906 1591676615.6978
MEM 61.730469 1591676615.8072
MEM 62.234375 1591676615.9075
MEM 65.078125 1591676616.0082
MEM 66.308594 1591676616.1090
MEM 72.195312 1591676616.2097
MEM 76.601562 1591676616.3104
MEM 80.937500 1591676616.4112
MEM 80.937500 1591676616.5119
MEM 80.937500 1591676616.6217
MEM 81.136719 1591676616.7310
MEM 81.578125 1591676616.8405
MEM 81.878906 1591676616.9413
MEM 82.242188 1591676617.0420
MEM 82.566406 1591676617.1428
MEM 82.902344 1591676617.2435
MEM 83.238281 1591676617.3442
MEM 83.597656 1591676617.4449
MEM 83.863281 1591676617.5455
MEM 84.191406 1591676617.6549
